Entity,Code,Year,11.a.1 - Countries that have national urban policies or regional development plans that respond to population dynamics; ensure balanced territorial development; and increase local fiscal space (1 = YES; 0 = NO) - SD_CPA_UPRDP
Afghanistan,AFG,2020,1
Aland Islands,,2020,0
Albania,ALB,2020,1
Algeria,DZA,2020,1
American Samoa,ASM,2020,0
Andorra,AND,2020,0
Angola,AGO,2020,1
Anguilla,AIA,2020,0
Antigua and Barbuda,ATG,2020,0
Argentina,ARG,2020,1
Armenia,ARM,2020,1
Aruba,ABW,2020,0
Australia,AUS,2020,1
Australia and New Zealand,,2020,2
Austria,AUT,2020,1
Azerbaijan,AZE,2020,0
Bahamas,BHS,2020,0
Bahrain,BHR,2020,1
Bangladesh,BGD,2020,1
Barbados,BRB,2020,0
Belarus,BLR,2020,1
Belgium,BEL,2020,1
Belize,BLZ,2020,0
Benin,BEN,2020,0
Bermuda,BMU,2020,0
Bhutan,BTN,2020,1
Bolivia,BOL,2020,1
Bonaire Sint Eustatius and Saba,BES,2020,0
Bosnia and Herzegovina,BIH,2020,1
Botswana,BWA,2020,1
Brazil,BRA,2020,1
British Indian Ocean Territory,IOT,2020,0
British Virgin Islands,VGB,2020,0
Brunei,BRN,2020,1
Bulgaria,BGR,2020,1
Burkina Faso,BFA,2020,1
Burundi,BDI,2020,1
Cambodia,KHM,2020,1
Cameroon,CMR,2020,1
Canada,CAN,2020,0
Cape Verde,CPV,2020,1
Cayman Islands,CYM,2020,0
Central African Republic,CAF,2020,0
Central Asia,,2020,4
Central and Southern Asia,,2020,13
Chad,TCD,2020,1
Channel Islands,OWID_CIS,2020,0
Chile,CHL,2020,1
China,CHN,2020,1
"China, Hong Kong Special Administrative Region",,2020,0
Christmas Island,CXR,2020,0
Cocos Islands,CCK,2020,0
Colombia,COL,2020,1
Comoros,COM,2020,1
Congo,COG,2020,1
Cook Islands,COK,2020,0
Costa Rica,CRI,2020,1
Cote d'Ivoire,CIV,2020,1
Croatia,HRV,2020,1
Cuba,CUB,2020,1
Curacao,CUW,2020,0
Cyprus,CYP,2020,1
Czechia,CZE,2020,1
Democratic Republic of Congo,COD,2020,1
Denmark,DNK,2020,1
Djibouti,DJI,2020,1
Dominica,DMA,2020,0
Dominican Republic,DOM,2020,1
Eastern Asia,,2020,4
Eastern and South-Eastern Asia,,2020,15
Ecuador,ECU,2020,1
Egypt,EGY,2020,1
El Salvador,SLV,2020,1
Equatorial Guinea,GNQ,2020,0
Eritrea,ERI,2020,1
Estonia,EST,2020,1
Eswatini,SWZ,2020,1
Ethiopia,ETH,2020,1
Europe,,2020,37
Europe and Northern America,,2020,37
Faeroe Islands,FRO,2020,0
Falkland Islands,FLK,2020,0
Fiji,FJI,2020,1
Finland,FIN,2020,1
France,FRA,2020,1
French Guiana,GUF,2020,0
French Polynesia,PYF,2020,0
French Southern Territories,ATF,2020,0
Gabon,GAB,2020,1
Gambia,GMB,2020,1
Georgia,GEO,2020,1
Germany,DEU,2020,1
Ghana,GHA,2020,1
Gibraltar,GIB,2020,0
Greece,GRC,2020,1
Greenland,GRL,2020,0
Grenada,GRD,2020,0
Guadeloupe,GLP,2020,0
Guam,GUM,2020,0
Guatemala,GTM,2020,1
Guernsey,GGY,2020,0
Guinea,GIN,2020,1
Guinea-Bissau,GNB,2020,0
Guyana,GUY,2020,0
Haiti,HTI,2020,0
Heard Island and McDonald Islands,HMD,2020,0
Honduras,HND,2020,0
Hungary,HUN,2020,1
Iceland,ISL,2020,1
India,IND,2020,1
Indonesia,IDN,2020,1
Iran,IRN,2020,1
Iraq,IRQ,2020,1
Ireland,IRL,2020,1
Isle of Man,IMN,2020,0
Israel,ISR,2020,1
Italy,ITA,2020,1
Jamaica,JAM,2020,0
Japan,JPN,2020,1
Jersey,JEY,2020,0
Jordan,JOR,2020,1
Kazakhstan,KAZ,2020,1
Kenya,KEN,2020,1
Kiribati,KIR,2020,1
Kuwait,KWT,2020,1
Kyrgyzstan,KGZ,2020,1
Laos,LAO,2020,1
Latin America and the Caribbean,,2020,17
Latvia,LVA,2020,1
Lebanon,LBN,2020,1
Lesotho,LSO,2020,0
Liberia,LBR,2020,1
Libya,LBY,2020,1
Liechtenstein,LIE,2020,0
Lithuania,LTU,2020,1
Luxembourg,LUX,2020,1
Macao,MAC,2020,0
Madagascar,MDG,2020,1
Malawi,MWI,2020,1
Malaysia,MYS,2020,1
Maldives,MDV,2020,1
Mali,MLI,2020,1
Malta,MLT,2020,1
Marshall Islands,MHL,2020,1
Martinique,MTQ,2020,0
Mauritania,MRT,2020,1
Mauritius,MUS,2020,1
Mayotte,MYT,2020,0
Mexico,MEX,2020,1
Micronesia (country),FSM,2020,1
Moldova,MDA,2020,1
Monaco,MCO,2020,0
Mongolia,MNG,2020,1
Montenegro,MNE,2020,1
Montserrat,MSR,2020,0
Morocco,MAR,2020,1
Mozambique,MOZ,2020,1
Myanmar,MMR,2020,1
Namibia,NAM,2020,1
Nauru,NRU,2020,1
Nepal,NPL,2020,1
Netherlands,NLD,2020,1
New Caledonia,NCL,2020,1
New Zealand,NZL,2020,1
Nicaragua,NIC,2020,1
Niger,NER,2020,0
Nigeria,NGA,2020,1
Niue,NIU,2020,0
Norfolk Island,NFK,2020,0
North Korea,PRK,2020,0
North Macedonia,MKD,2020,0
Northern Africa,,2020,6
Northern Africa and Western Asia,,2020,20
Northern America,,2020,0
Northern Mariana Islands,MNP,2020,0
Norway,NOR,2020,1
Oceania,,2020,14
Oceania (exc. Australia and New Zealand),,2020,12
Oman,OMN,2020,1
Pakistan,PAK,2020,1
Palau,PLW,2020,1
Palestine,PSE,2020,0
Panama,PAN,2020,1
Papua New Guinea,PNG,2020,1
Paraguay,PRY,2020,0
Peru,PER,2020,1
Philippines,PHL,2020,1
Pitcairn,PCN,2020,0
Poland,POL,2020,1
Portugal,PRT,2020,1
Puerto Rico,PRI,2020,1
Qatar,QAT,2020,1
Reunion,REU,2020,0
Romania,ROU,2020,1
Russia,RUS,2020,0
Rwanda,RWA,2020,1
Saint Barthlemy,,2020,0
Saint Helena,SHN,2020,0
Saint Kitts and Nevis,KNA,2020,0
Saint Lucia,LCA,2020,0
Saint Martin (French part),MAF,2020,0
Saint Pierre and Miquelon,SPM,2020,0
Saint Vincent and the Grenadines,VCT,2020,0
Samoa,WSM,2020,1
San Marino,SMR,2020,0
Sao Tome and Principe,STP,2020,1
Saudi Arabia,SAU,2020,1
Senegal,SEN,2020,1
Serbia,SRB,2020,1
Seychelles,SYC,2020,0
Sierra Leone,SLE,2020,0
Singapore,SGP,2020,1
Sint Maarten (Dutch part),SXM,2020,0
Slovakia,SVK,2020,1
Slovenia,SVN,2020,1
Solomon Islands,SLB,2020,1
Somalia,SOM,2020,1
South Africa,ZAF,2020,1
South Georgia and the South Sandwich Islands,SGS,2020,0
South Korea,KOR,2020,1
South Sudan,SSD,2020,1
South-eastern Asia,,2020,11
Southern Asia,,2020,9
Spain,ESP,2020,1
Sri Lanka,LKA,2020,1
Sub-Saharan Africa,,2020,40
Sudan,SDN,2020,1
Suriname,SUR,2020,0
Svalbard and Jan Mayen,SJM,2020,0
Sweden,SWE,2020,1
Switzerland,CHE,2020,1
Syria,SYR,2020,1
Tajikistan,TJK,2020,1
Tanzania,TZA,2020,1
Thailand,THA,2020,1
Timor,TLS,2020,1
Togo,TGO,2020,1
Tokelau,TKL,2020,0
Tonga,TON,2020,1
Trinidad and Tobago,TTO,2020,0
Tunisia,TUN,2020,1
Turkey,TUR,2020,1
Turkmenistan,TKM,2020,1
Turks and Caicos Islands,TCA,2020,0
Tuvalu,TUV,2020,1
Uganda,UGA,2020,1
Ukraine,UKR,2020,1
United Arab Emirates,ARE,2020,1
United Kingdom,GBR,2020,1
United States,USA,2020,0
United States Minor Outlying Islands,UMI,2020,0
United States Virgin Islands,VIR,2020,0
Uruguay,URY,2020,1
Uzbekistan,UZB,2020,1
Vanuatu,VUT,2020,1
Vatican,VAT,2020,0
Venezuela,VEN,2020,1
Vietnam,VNM,2020,1
Wallis and Futuna,WLF,2020,0
Western Asia,,2020,14
Western Sahara,ESH,2020,0
World,OWID_WRL,2020,156
Yemen,YEM,2020,1
Zambia,ZMB,2020,1
Zimbabwe,ZWE,2020,1