Entity,Code,Year,"12.6.1 - Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number) - EN_SCP_FRMN - Minimum"
Afghanistan,AFG,2020,0
Africa,,2020,224
Aland Islands,,2020,0
Albania,ALB,2020,1
Algeria,DZA,2020,0
American Samoa,ASM,2020,0
Americas,,2020,1157
Andorra,AND,2020,2
Angola,AGO,2020,2
Anguilla,AIA,2020,0
Antigua and Barbuda,ATG,2020,0
Argentina,ARG,2020,62
Armenia,ARM,2020,0
Aruba,ABW,2020,0
Asia,,2020,637
Australia,AUS,2020,112
Australia and New Zealand,,2020,143
Austria,AUT,2020,37
Azerbaijan,AZE,2020,0
Bahamas,BHS,2020,0
Bahrain,BHR,2020,0
Bangladesh,BGD,2020,3
Barbados,BRB,2020,0
Belarus,BLR,2020,0
Belgium,BEL,2020,14
Belize,BLZ,2020,0
Benin,BEN,2020,0
Bermuda,BMU,2020,1
Bhutan,BTN,2020,0
Bolivia,BOL,2020,1
Bonaire Sint Eustatius and Saba,BES,2020,0
Bosnia and Herzegovina,BIH,2020,0
Botswana,BWA,2020,5
Brazil,BRA,2020,89
British Indian Ocean Territory,IOT,2020,0
British Virgin Islands,VGB,2020,0
Brunei,BRN,2020,0
Bulgaria,BGR,2020,1
Burkina Faso,BFA,2020,1
Burundi,BDI,2020,0
Cambodia,KHM,2020,2
Cameroon,CMR,2020,0
Canada,CAN,2020,76
Cape Verde,CPV,2020,0
Caribbean,,2020,3
Caucasus and Central Asia,,2020,3
Cayman Islands,CYM,2020,0
Central African Republic,CAF,2020,0
Central America,,2020,59
Central Asia,,2020,3
Central and Southern Asia,,2020,75
Chad,TCD,2020,0
Channel Islands,OWID_CIS,2020,0
Chile,CHL,2020,25
China,CHN,2020,67
"China, Hong Kong Special Administrative Region",,2020,103
Christmas Island,CXR,2020,0
Cocos Islands,CCK,2020,0
Colombia,COL,2020,71
Comoros,COM,2020,0
Congo,COG,2020,0
Cook Islands,COK,2020,0
Costa Rica,CRI,2020,7
Cote d'Ivoire,CIV,2020,1
Croatia,HRV,2020,7
Cuba,CUB,2020,0
Curacao,CUW,2020,0
Cyprus,CYP,2020,7
Czechia,CZE,2020,13
Democratic Republic of Congo,COD,2020,0
Denmark,DNK,2020,26
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2020,1971
Developing regions,,2020,1404
Djibouti,DJI,2020,0
Dominica,DMA,2020,0
Dominican Republic,DOM,2020,3
Eastern Africa,,2020,32
Eastern Asia,,2020,260
Eastern Asia (excluding Japan),,2020,211
Eastern Europe,,2020,136
Eastern and South-Eastern Asia,,2020,504
Ecuador,ECU,2020,5
Egypt,EGY,2020,4
El Salvador,SLV,2020,0
Equatorial Guinea,GNQ,2020,0
Eritrea,ERI,2020,0
Estonia,EST,2020,3
Eswatini,SWZ,2020,0
Ethiopia,ETH,2020,1
Europe,,2020,1213
Europe and Northern America,,2020,1765
Faeroe Islands,FRO,2020,0
Falkland Islands,FLK,2020,0
Fiji,FJI,2020,0
Finland,FIN,2020,73
France,FRA,2020,60
French Guiana,GUF,2020,0
French Polynesia,PYF,2020,0
French Southern Territories,ATF,2020,0
Gabon,GAB,2020,0
Gambia,GMB,2020,0
Georgia,GEO,2020,0
Germany,DEU,2020,155
Ghana,GHA,2020,3
Gibraltar,GIB,2020,0
Greece,GRC,2020,35
Greenland,GRL,2020,0
Grenada,GRD,2020,0
Guadeloupe,GLP,2020,0
Guam,GUM,2020,0
Guatemala,GTM,2020,3
Guernsey,GGY,2020,0
Guinea,GIN,2020,0
Guinea-Bissau,GNB,2020,0
Guyana,GUY,2020,0
Haiti,HTI,2020,0
Heard Island and McDonald Islands,HMD,2020,0
Honduras,HND,2020,3
Hungary,HUN,2020,9
Iceland,ISL,2020,1
India,IND,2020,34
Indonesia,IDN,2020,32
Iran,IRN,2020,0
Iraq,IRQ,2020,0
Ireland,IRL,2020,11
Isle of Man,IMN,2020,0
Israel,ISR,2020,7
Italy,ITA,2020,55
Jamaica,JAM,2020,0
Japan,JPN,2020,49
Jersey,JEY,2020,1
Jordan,JOR,2020,1
Kazakhstan,KAZ,2020,2
Kenya,KEN,2020,12
Kiribati,KIR,2020,0
Kuwait,KWT,2020,0
Kyrgyzstan,KGZ,2020,1
Landlocked developing countries (LLDCs),,2020,29
Laos,LAO,2020,0
Latin America and the Caribbean,,2020,605
Latvia,LVA,2020,2
Least developed countries (LDCs),,2020,21
Lebanon,LBN,2020,2
Lesotho,LSO,2020,0
Liberia,LBR,2020,0
Libya,LBY,2020,0
Liechtenstein,LIE,2020,0
Lithuania,LTU,2020,0
Luxembourg,LUX,2020,2
Macao,MAC,2020,1
Madagascar,MDG,2020,0
Malawi,MWI,2020,0
Malaysia,MYS,2020,33
Maldives,MDV,2020,0
Mali,MLI,2020,0
Malta,MLT,2020,0
Marshall Islands,MHL,2020,0
Martinique,MTQ,2020,0
Mauritania,MRT,2020,0
Mauritius,MUS,2020,5
Mayotte,MYT,2020,0
Melanesia,OWID_MNS,2020,1
Mexico,MEX,2020,43
Micronesia (country),FSM,2020,0
Middle Africa,,2020,2
Moldova,MDA,2020,0
Monaco,MCO,2020,0
Mongolia,MNG,2020,2
Montenegro,MNE,2020,0
Montserrat,MSR,2020,0
Morocco,MAR,2020,2
Mozambique,MOZ,2020,0
Myanmar,MMR,2020,1
Namibia,NAM,2020,0
Nauru,NRU,2020,0
Nepal,NPL,2020,0
Netherlands,NLD,2020,26
New Caledonia,NCL,2020,0
New Zealand,NZL,2020,31
Nicaragua,NIC,2020,1
Niger,NER,2020,0
Nigeria,NGA,2020,8
Niue,NIU,2020,0
Norfolk Island,NFK,2020,0
North Korea,PRK,2020,0
North Macedonia,MKD,2020,0
Northern Africa,,2020,6
Northern Africa (exc. Sudan),,2020,6
Northern Africa and Western Asia,,2020,64
Northern America,,2020,552
Northern Europe,,2020,498
Northern Mariana Islands,MNP,2020,0
Norway,NOR,2020,49
Oceania,,2020,144
Oceania (exc. Australia and New Zealand),,2020,1
Oman,OMN,2020,3
Pakistan,PAK,2020,3
Palau,PLW,2020,0
Palestine,PSE,2020,0
Panama,PAN,2020,2
Papua New Guinea,PNG,2020,1
Paraguay,PRY,2020,2
Peru,PER,2020,279
Philippines,PHL,2020,18
Pitcairn,PCN,2020,0
Poland,POL,2020,36
Portugal,PRT,2020,14
Puerto Rico,PRI,2020,0
Qatar,QAT,2020,2
Reunion,REU,2020,0
Romania,ROU,2020,10
Russia,RUS,2020,59
Rwanda,RWA,2020,1
Saint Barthlemy,,2020,0
Saint Helena,SHN,2020,0
Saint Kitts and Nevis,KNA,2020,0
Saint Lucia,LCA,2020,0
Saint Martin (French part),MAF,2020,0
Saint Pierre and Miquelon,SPM,2020,0
Saint Vincent and the Grenadines,VCT,2020,0
Samoa,WSM,2020,0
San Marino,SMR,2020,0
Sao Tome and Principe,STP,2020,0
Saudi Arabia,SAU,2020,3
Senegal,SEN,2020,1
Serbia,SRB,2020,1
Seychelles,SYC,2020,0
Sierra Leone,SLE,2020,0
Singapore,SGP,2020,78
Sint Maarten (Dutch part),SXM,2020,0
Slovakia,SVK,2020,6
Slovenia,SVN,2020,9
Small Island Developing States (SIDS),,2020,92
Solomon Islands,SLB,2020,0
Somalia,SOM,2020,0
South Africa,ZAF,2020,165
South America,,2020,543
South Georgia and the South Sandwich Islands,SGS,2020,0
South Korea,KOR,2020,38
South Sudan,SSD,2020,0
South-eastern Asia,,2020,244
Southern Africa,,2020,170
Southern Asia,,2020,72
Southern Europe,,2020,196
Spain,ESP,2020,72
Sri Lanka,LKA,2020,32
Sub-Saharan Africa,,2020,218
Sub-Saharan Africa (inc. Sudan),,2020,218
Sudan,SDN,2020,0
Suriname,SUR,2020,0
Svalbard and Jan Mayen,SJM,2020,0
Sweden,SWE,2020,120
Switzerland,CHE,2020,89
Syria,SYR,2020,0
Tajikistan,TJK,2020,0
Tanzania,TZA,2020,0
Thailand,THA,2020,53
Timor,TLS,2020,0
Togo,TGO,2020,0
Tokelau,TKL,2020,0
Tonga,TON,2020,0
Trinidad and Tobago,TTO,2020,0
Tunisia,TUN,2020,0
Turkey,TUR,2020,16
Turkmenistan,TKM,2020,0
Turks and Caicos Islands,TCA,2020,0
Tuvalu,TUV,2020,0
Uganda,UGA,2020,9
Ukraine,UKR,2020,2
United Arab Emirates,ARE,2020,17
United Kingdom,GBR,2020,212
United States,USA,2020,475
United States Minor Outlying Islands,UMI,2020,0
United States Virgin Islands,VIR,2020,0
Uruguay,URY,2020,7
Uzbekistan,UZB,2020,0
Vanuatu,VUT,2020,0
Vatican,VAT,2020,0
Venezuela,VEN,2020,2
Vietnam,VNM,2020,27
Wallis and Futuna,WLF,2020,0
Western Africa,,2020,14
Western Asia,,2020,58
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2020,44
Western Europe,,2020,383
Western Sahara,ESH,2020,0
World,OWID_WRL,2020,3375
Yemen,YEM,2020,0
Zambia,ZMB,2020,0
Zimbabwe,ZWE,2020,4